scenario,stage,source,destination,start_cycle,end_cycle,value_hex,value_decimal,flags
Nominal,Stage 1,FP32 Block,FP64 Matrix,1,5,40100000,2.250000,none
Nominal,Stage 2,FP64 Matrix,FP32 Block,11,16,bfe8000000000000,-0.750000,none
Nominal,Stage 3,FP32 Block,CPU Output,18,22,3f000000,0.500000,none
